date	라이	미온	키르케	리젤	루시온	무라사	루터	쇼메	카론	라이오라	키스	
1												-2.79	
2													
3													
4													
5													
6													
7													
8													
9													
10													
11													
12													
13													
14													
15													
16													
17													
18													
19													
20													
21													
22													
23													
24													
25													
26													
27												5.0	
28												1.26	
29			-5.0										
30													
31													
32													
33													
34													
35													
36													
37													
38													
39													
40													
41													
42													
43								-4.62					
44													
45													
46													
47													
48													
49													
50													
51													
52													
53													
54													
55													
56													
57													
58													
59													
60													
61													
62													
63													
64													
65													
66													
67													
68													
69													
70	-0.73									-0.73			
71													
72	-0.65									-0.65			
73	-1.46									-1.46			
74													
75		0.4											
76		5.0										5.0	
77		-4.21											
78													
79		-5.0											
80		-2.31											
81		-1.08		-1.08									
82		-5.0		-5.0									
83													
84													
85													
86													
87													
88													
89													
90													
91													
92													
93													
94													
95													
96													
97													
98													
99													
100													
101													
102													
103													
104													
105													
106													
107													
108													
109													
110													
111													
112													
113													
114													
115													
116													
117													
118													
119													
120													
121													
122													
123													
124													
125													
126													
127													
128													
129		-2.9											
130		-2.22											
131		-0.6											
132													
133													
134	-5.0	-5.0		-5.0		-5.0				-5.0			
135				-5.0									
136		-5.0		-5.0									
137													
138													
139													
140													
141													
142													
143													
144													
145													
146													
147													
148													
149													
150													
151													
152												-3.93	
153												-2.51	
154													
155													
156													
157		5.0											
158		-5.0										-5.0	
159													
160													
161													
162													
163													
164													
165													
166													
167													
168													
169													
170													
171													
172													
173													
174													
175													
176													
177													
178													
179													
180													
181													
182													
183													
184													
185													
186													
187													
188													
189													
190													
191													
192													
193													
194													
195													
196													
197													
198													
199													
200												-4.57	
201													
202													
203													
204													
205													
206													
207													
208		0.75											
209													
210				-3.78									
211								-4.38					
212													
213													
214													
215													
216									-5.0				
217													
218									1.04				
219													
220													
221													
222													
223													
224													
225													
226												3.87	
227													
228													
229		-5.0											
230		-3.98		-3.98									
231													
232													
233													
234													
235													
236													
237													
238													
239													
240													
241													
242													
243													
244													
245													
246													
247													
248													
249													
250													
251													
252													
253													
254													
255													
256													
257				5.0									
258		-4.01		-4.01									
259		2.58		2.58									
260													
261													
262													
263								-5.0					
264								5.0					
265								-5.0					
266													
267	-5.0									-5.0			
268									1.02				
269									-5.0				
270									1.44				
271													
272				5.0									
273				-1.0									
274				-5.0									
275				0.05									
276				-1.73									
277				-3.85									
278												-2.7	
279													
280													
281													
282													
283													
284													
285				-5.0									
286				1.88									
287													
288													
289													
290													
291	-3.62		-3.62					-3.62		-3.62		-3.62	
292													
293													
294													
295													
296												-2.8	
297												-0.66	
