date	라이	미온	키르케	리젤	루시온	무라사	루터	쇼메	카론	라이오라	이자벨	
1											-2.79	
2									-1.45				
3									-5.0				
4									-1.45				
5									-3.37				
6		-5.0							-5.0				
7		2.28							2.28				
8		-5.0											
9									-2.92				
10													
11									-1.1				
12									1.5				
13									-3.01				
14													
15													
16													
17													
18													
19													
20													
21													
22													
23													
24													
25													
26													
27											5.0	
28											1.26	
29													
30													
31													
32													
33													
34													
35													
36													
37													
38													
39													
40													
41													
42													
43													
44													
45													
46													
47													
48													
49													
50													
51													
52													
53													
54													
55													
56													
57													
58													
59													
60													
61													
62													
63													
64													
65													
66													
67													
68													
69													
70													
71													
72													
73													
74													
75													
76		5.0									5.0	
77													
78		-5.0											
79													
80													
81													
82													
83													
84													
85													
86													
87													
88													
89													
90													
91													
92													
93													
94		2.32											
95													
96									-0.43				
97													
98		1.14											
99													
100													
101													
102													
103													
104													
105													
106													
107													
108													
109						-4.39			-4.39				
110													
111													
112													
113													
114													
115													
116													
117													
118													
119													
120													
121													
122													
123													
124													
125													
126													
127													
128													
129													
130													
131													
132													
133									-5.0				
134													
135													
136													
137													
138													
139													
140													
141													
142													
143													
144													
145													
146													
147													
148													
149													
150													
151													
152											-3.93	
153											-2.51	
154		-5.0											
155				-3.27									
156		1.48											
157													
158		-5.0									-5.0	
159				-5.0									
160													
161													
162													
163													
164													
165													
166													
167													
168													
169													
170													
171													
172													
173													
174													
175													
176													
177													
178													
179													
180													
181													
182													
183													
184													
185													
186													
187													
188													
189													
190													
191													
192													
193													
194													
195													
196													
197													
198													
199													
200											-4.57	
201													
202													
203													
204													
205													
206													
207													
208													
209													
210													
211													
212													
213					1.37								
214		-2.07											
215													
216													
217													
218													
219													
220		5.0											
221		-5.0											
222		-5.0											
223		5.0											
224		-5.0											
225		0.69											
226											3.87	
227		-4.05											
228		-5.0											
229													
230													
231													
232									-1.06				
233					-3.01								
234					0.4								
235					-0.59								
236					-0.3								
237		-0.32											
238					-0.54								
239					-1.19								
240					-1.5								
241													
242					-5.0								
243									0.6				
244									-1.17				
245									-5.0				
246													
247													
248													
249													
250													
251													
252													
253													
254													
255													
256													
257													
258													
259													
260													
261									-5.0				
262									-5.0				
263													
264													
265													
266													
267													
268													
269													
270													
271		-5.0							-5.0				
272													
273													
274													
275													
276													
277													
278											-2.7	
279													
280													
281		1.4											
282													
283									3.5				
284													
285													
286													
287													
288					0.4								
289													
290													
291	-3.62		-3.62					-3.62		-3.62	-3.62	
292													
293		-3.34											
294									-5.0				
295													
296											-2.8	
297											-0.66	
