date	라이	미온	키르케	리젤	루시온	루터	쇼메	카론	라이오라	이자벨	키스	
1													
2													
3													
4													
5													
6													
7													
8													
9													
10													
11													
12													
13													
14													
15													
16													
17													
18													
19													
20													
21													
22													
23													
24													
25													
26													
27													
28													
29													
30													
31													
32													
33													
34													
35													
36													
37													
38													
39													
40													
41													
42													
43													
44													
45													
46													
47													
48													
49													
50													
51													
52													
53													
54													
55													
56													
57													
58													
59													
60													
61													
62													
63													
64													
65													
66													
67													
68	-1.77								-1.77	-1.77			
69													
70													
71													
72													
73													
74													
75													
76													
77													
78													
79													
80													
81													
82													
83									2.28				
84									-3.93				
85									-4.3				
86									2.8				
87									-1.47				
88									-5.0				
89	-5.0									-5.0			
90													
91									-4.91				
92													
93									2.04				
94													
95													
96													
97													
98													
99													
100													
101													
102													
103	-0.65								-0.65	-0.65			
104	-0.38									-0.38			
105	-5.0						-5.0		-5.0	-5.0			
106			-1.67										
107													
108													
109									-4.39			-4.39	
110									-1.95				
111													
112													
113													
114	-2.27									-2.27			
115													
116													
117													
118	-5.0									-5.0			
119													
120	-3.56									-3.56			
121													
122													
123	-0.2									-0.2			
124													
125													
126													
127													
128	-2.48									-2.48			
129													
130													
131													
132													
133													
134	-5.0	-5.0		-5.0						-5.0	-5.0	
135													
136													
137													
138													
139	-4.68								-4.68	-4.68			
140													
141													
142	-2.05									-2.05			
143	-5.0									-5.0			
144													
145	4.67									4.67			
146													
147													
148	-3.33									-3.33			
149													
150	-2.86									-2.86			
151	0.3									0.3			
152													
153													
154													
155													
156													
157													
158													
159													
160	-0.6									-0.6			
161	-4.38									-4.38			
162													
163	1.22									1.22			
164	-4.37									-4.37			
165													
166													
167	0.34									0.34			
168	-3.38									-3.38			
169	-0.63									-0.63			
170													
171	-0.88									-0.88			
172	-0.2									-0.2			
173													
174													
175													
176	2.03									2.03			
177													
178													
179													
180	-0.51									-0.51			
181													
182	-2.16									-2.16			
183	-0.58									-0.58			
184	-2.81									-2.81			
185									-3.94				
186	-1.21									-1.21			
187													
188	-1.18									-1.18			
189	-5.0									-5.0			
190													
191	2.5									2.5			
192													
193													
194													
195	-1.67									-1.67			
196													
197													
198													
199													
200													
201													
202	-0.47									-0.47			
203													
204			-5.0										
205													
206			-3.23										
207													
208													
209													
210													
211													
212													
213													
214													
215													
216													
217													
218													
219													
220													
221													
222													
223													
224													
225													
226													
227													
228													
229													
230													
231													
232													
233													
234													
235													
236													
237													
238													
239													
240													
241													
242													
243													
244													
245													
246													
247													
248													
249													
250													
251													
252													
253													
254													
255													
256													
257													
258													
259													
260													
261													
262													
263													
264													
265													
266													
267													
268													
269													
270													
271													
272													
273													
274													
275													
276													
277													
278													
279													
280													
281													
282													
283													
284													
285													
286													
287													
288													
289													
290													
291													
292													
293													
294													
295													
296													
297													
