date	라이	미온	키르케	리젤	루시온	무라사	루터	쇼메	라이오라	이자벨	키스	
1													
2												-1.45	
3												-5.0	
4												-1.45	
5												-3.37	
6		-5.0										-5.0	
7		2.28										2.28	
8													
9												-2.92	
10		5.0											
11												-1.1	
12												1.5	
13												-3.01	
14	-4.25									-4.25			
15							2.2						
16							-5.0						
17							2.33						
18							-2.5						
19							1.25						
20													
21													
22							-2.56						
23							1.13						
24													
25			-5.0				-5.0						
26							1.48						
27													
28													
29													
30													
31			-5.0				-5.0						
32			5.0										
33			-5.0										
34			-5.0										
35			-0.44										
36			-2.09										
37			-1.01										
38			-4.09				-4.09						
39	1.17									1.17			
40													
41													
42													
43													
44													
45													
46													
47													
48													
49													
50													
51													
52													
53													
54													
55													
56													
57													
58													
59													
60													
61													
62													
63													
64													
65													
66	-4.79												
67	-4.31									-4.31			
68	-1.77					-1.77				-1.77			
69													
70													
71													
72													
73													
74													
75													
76													
77													
78													
79													
80													
81													
82													
83						2.28							
84						-3.93							
85						-4.3							
86						2.8							
87						-1.47							
88						-5.0							
89													
90	-0.62									-0.62			
91						-4.91							
92													
93						2.04							
94													
95					-2.84								
96												-0.43	
97		0.07											
98													
99													
100		2.38											
101			-5.0										
102			-5.0										
103	-0.65					-0.65				-0.65			
104													
105	-5.0					-5.0	-5.0			-5.0			
106													
107							5.0						
108							-2.36						
109						-4.39						-4.39	
110						-1.95							
111													
112													
113													
114													
115													
116													
117													
118													
119													
120													
121													
122													
123													
124													
125													
126													
127													
128													
129													
130													
131													
132		1.24											
133												-5.0	
134													
135													
136													
137													
138													
139	-4.68					-4.68				-4.68			
140													
141													
142													
143													
144													
145													
146													
147													
148													
149													
150													
151													
152													
153													
154													
155													
156													
157													
158													
159													
160													
161													
162													
163													
164													
165													
166													
167													
168													
169													
170													
171													
172													
173													
174													
175													
176													
177													
178													
179													
180													
181													
182													
183													
184													
185						-3.94							
186													
187													
188													
189													
190													
191													
192													
193													
194													
195													
196													
197													
198													
199													
200													
201													
202													
203													
204													
205													
206													
207													
208													
209													
210													
211													
212			-5.0										
213													
214													
215		-0.02											
216											-5.0	
217													
218											1.04	
219							3.71						
220													
221													
222													
223													
224													
225													
226													
227													
228													
229													
230													
231													
232												-1.06	
233													
234													
235													
236													
237													
238													
239													
240													
241					-5.0								
242													
243												0.6	
244												-1.17	
245												-5.0	
246													
247													
248													
249													
250													
251													
252													
253													
254													
255													
256													
257													
258													
259													
260													
261												-5.0	
262												-5.0	
263													
264													
265													
266			-0.46										
267													
268											1.02	
269											-5.0	
270											1.44	
271		-5.0										-5.0	
272													
273													
274													
275													
276													
277													
278													
279			-5.0										
280		2.7											
281													
282		2.3											
283												3.5	
284													
285													
286													
287													
288													
289													
290								-4.6					
291													
292		-3.47											
293													
294												-5.0	
295													
296													
297													
