date	라이	미온	키르케	리젤	루시온	무라사	루터	쇼메	카론	이자벨	키스	
1													
2													
3													
4													
5													
6													
7													
8													
9													
10													
11													
12													
13													
14	-4.25								-4.25				
15													
16													
17													
18													
19													
20													
21													
22													
23													
24													
25													
26													
27													
28													
29													
30													
31													
32													
33													
34													
35													
36													
37													
38													
39	1.17								1.17				
40	-5.0		-5.0										
41													
42													
43													
44													
45													
46													
47													
48													
49													
50	-5.0												
51	-5.0												
52	-5.0												
53	1.47												
54	-5.0												
55	1.0												
56	0.0												
57	-5.0												
58	-2.3												
59	-4.9												
60	-0.17												
61	-5.0												
62	-0.05												
63	0.67												
64	-5.0												
65	-3.48												
66													
67	-4.31								-4.31				
68	-1.77					-1.77			-1.77				
69	-4.21												
70	-0.73										-0.73	
71	-0.01												
72	-0.65										-0.65	
73	-1.46										-1.46	
74	-4.3												
75													
76													
77													
78													
79													
80													
81													
82													
83													
84													
85													
86													
87													
88													
89	-5.0					-5.0							
90	-0.62								-0.62				
91													
92	-5.0												
93													
94													
95													
96													
97													
98													
99													
100													
101													
102													
103	-0.65					-0.65			-0.65				
104	-0.38					-0.38							
105	-5.0					-5.0	-5.0		-5.0				
106													
107													
108													
109													
110													
111	-2.7												
112	-5.0												
113	-4.05												
114	-2.27					-2.27							
115	-0.7												
116	0.0												
117	2.8												
118	-5.0					-5.0							
119	-3.01												
120	-3.56					-3.56							
121	-5.0												
122	-1.15												
123	-0.2					-0.2							
124	-0.6												
125	0.86												
126	1.62												
127	-3.3												
128	-2.48					-2.48							
129													
130													
131													
132													
133													
134	-5.0	-5.0		-5.0		-5.0					-5.0	
135													
136													
137													
138													
139	-4.68					-4.68			-4.68				
140	-5.0						-5.0						
141	-1.45												
142	-2.05					-2.05							
143	-5.0					-5.0							
144	-3.93												
145	4.67					4.67							
146	-0.6												
147	-4.41												
148	-3.33					-3.33							
149	-1.6												
150	-2.86					-2.86							
151	0.3					0.3							
152													
153													
154													
155													
156													
157													
158													
159													
160	-0.6					-0.6							
161	-4.38					-4.38							
162	-3.15												
163	1.22					1.22							
164	-4.37					-4.37							
165	3.51												
166	4.58												
167	0.34					0.34							
168	-3.38					-3.38							
169	-0.63					-0.63							
170	-0.52												
171	-0.88					-0.88							
172	-0.2					-0.2							
173	-0.5												
174	-2.1												
175	-5.0												
176	2.03					2.03							
177	-1.55												
178	-5.0												
179	1.81												
180	-0.51					-0.51							
181	1.97												
182	-2.16					-2.16							
183	-0.58					-0.58							
184	-2.81					-2.81							
185													
186	-1.21					-1.21							
187	-2.01												
188	-1.18					-1.18							
189	-5.0					-5.0							
190	-4.6												
191	2.5					2.5							
192	-3.77												
193	5.0												
194	-5.0												
195	-1.67					-1.67							
196	-3.1												
197	0.0												
198	5.0												
199	-4.31												
200													
201	-1.25												
202	-0.47					-0.47							
203	-3.06												
204													
205	-0.3		-0.3										
206													
207													
208													
209	-1.43												
210													
211													
212													
213													
214													
215													
216													
217	-1.8												
218													
219													
220													
221													
222													
223													
224													
225													
226													
227													
228													
229													
230													
231													
232													
233													
234													
235													
236													
237													
238													
239													
240													
241													
242													
243													
244													
245													
246													
247													
248													
249													
250													
251													
252													
253													
254													
255													
256													
257													
258													
259													
260													
261													
262													
263													
264													
265													
266													
267	-5.0										-5.0	
268													
269													
270													
271													
272													
273													
274													
275													
276													
277													
278													
279													
280													
281													
282													
283													
284													
285													
286													
287													
288													
289													
290													
291	-3.62		-3.62					-3.62			-3.62-3.62	
292													
293													
294													
295													
296													
297													
